source_folder,file,issue,detail
Human_Single,conversation_1393970_340.csv,no_start_marker_for_first_session,first session has no explicit welcome marker; treating file start as its boundary
Human_Single,conversation_1393970_340.csv,session_missing_end_marker,last session in file
Human_Single,conversation_1496235_2530.csv,no_end_markers,
Human_Single,conversation_1496235_2530.csv,no_start_marker_for_first_session,first session has no explicit welcome marker; treating file start as its boundary
Human_Single,conversation_1496235_2530.csv,large_internal_gap_possible_unmarked_boundary,33.5h gap inside one detected session with no marker
Human_Single,conversation_1496235_2530.csv,session_missing_end_marker,last session in file
Human_Single,conversation_1521109_1849.csv,unexpected_raw_order,only 87% descending / 0% ascending steps
Human_Single,conversation_1521109_1849.csv,no_end_markers,
Human_Single,conversation_1521109_1849.csv,no_start_marker_for_first_session,first session has no explicit welcome marker; treating file start as its boundary
Human_Single,conversation_1521109_1849.csv,session_missing_end_marker,last session in file
Human_Single,conversation_244875_4.csv,no_end_markers,
Human_Single,conversation_244875_4.csv,no_start_marker_for_first_session,first session has no explicit welcome marker; treating file start as its boundary
Human_Single,conversation_244875_4.csv,large_internal_gap_possible_unmarked_boundary,34.4h gap inside one detected session with no marker
Human_Single,conversation_244875_4.csv,session_missing_end_marker,last session in file
Human_Single,conversation_656390_1004.csv,no_end_markers,
Human_Single,conversation_656390_1004.csv,no_start_marker_for_first_session,first session has no explicit welcome marker; treating file start as its boundary
Human_Single,conversation_656390_1004.csv,session_missing_end_marker,last session in file
Human_Single,conversation_807936_1947.csv,no_end_markers,
Human_Single,conversation_807936_1947.csv,no_start_marker_for_first_session,first session has no explicit welcome marker; treating file start as its boundary
Human_Single,conversation_807936_1947.csv,session_missing_end_marker,last session in file
Human_Single,conversation_824271_2078.csv,no_end_markers,
Human_Single,conversation_824271_2078.csv,no_start_marker_for_first_session,first session has no explicit welcome marker; treating file start as its boundary
Human_Single,conversation_824271_2078.csv,session_missing_end_marker,last session in file
Human_Single,conversation_833669_4.csv,no_end_markers,
Human_Single,conversation_833669_4.csv,no_start_marker_for_first_session,first session has no explicit welcome marker; treating file start as its boundary
Human_Single,conversation_833669_4.csv,large_internal_gap_possible_unmarked_boundary,390.8h gap inside one detected session with no marker
Human_Single,conversation_833669_4.csv,session_missing_end_marker,last session in file
Human_Single,conversation_915999_60.csv,no_end_markers,
Human_Single,conversation_915999_60.csv,no_start_marker_for_first_session,first session has no explicit welcome marker; treating file start as its boundary
Human_Single,conversation_915999_60.csv,session_missing_end_marker,last session in file
Human_Single,conversation_922772_1004.csv,unexpected_raw_order,only 87% descending / 0% ascending steps
Human_Single,conversation_922772_1004.csv,no_end_markers,
Human_Single,conversation_922772_1004.csv,no_start_marker_for_first_session,first session has no explicit welcome marker; treating file start as its boundary
Human_Single,conversation_922772_1004.csv,session_missing_end_marker,last session in file
Human_Single,conversation_924306_1947.csv,no_end_markers,
Human_Single,conversation_924306_1947.csv,no_start_marker_for_first_session,first session has no explicit welcome marker; treating file start as its boundary
Human_Single,conversation_924306_1947.csv,large_internal_gap_possible_unmarked_boundary,27.0h gap inside one detected session with no marker
Human_Single,conversation_924306_1947.csv,session_missing_end_marker,last session in file
Human_Single,conversation_924427_1283.csv,no_end_markers,
Human_Single,conversation_924427_1283.csv,no_start_marker_for_first_session,first session has no explicit welcome marker; treating file start as its boundary
Human_Single,conversation_924427_1283.csv,large_internal_gap_possible_unmarked_boundary,48.0h gap inside one detected session with no marker
Human_Single,conversation_924427_1283.csv,session_missing_end_marker,last session in file
Human_Single,conversation_971120_1297.csv,unexpected_raw_order,only 85% descending / 0% ascending steps
Human_Single,conversation_971120_1297.csv,no_end_markers,
Human_Single,conversation_971120_1297.csv,no_start_marker_for_first_session,first session has no explicit welcome marker; treating file start as its boundary
Human_Single,conversation_971120_1297.csv,session_missing_end_marker,last session in file
