session_id,source_group,arc_cluster,returned
Human_Astro::conversation_1851096_2048.csv::s7,baseline_returned,0,True
Human_Astro::conversation_1851096_2048.csv::s8,baseline_returned,1,True
Human_Astro::conversation_1851096_2048.csv::s9,baseline_returned,3,True
Human_Astro::conversation_2221141_168.csv::s1,baseline_returned,2,True
Human_Astro::conversation_2221141_168.csv::s10,baseline_returned,3,True
Human_Astro::conversation_2221141_168.csv::s11,baseline_returned,1,True
Human_Astro::conversation_2221141_168.csv::s12,baseline_returned,3,True
Human_Astro::conversation_2221141_168.csv::s13,baseline_returned,1,True
Human_Astro::conversation_2221141_168.csv::s2,baseline_returned,2,True
Human_Astro::conversation_2221141_168.csv::s3,baseline_returned,0,True
Human_Astro::conversation_2221141_168.csv::s4,baseline_returned,0,True
Human_Astro::conversation_2221141_168.csv::s5,baseline_returned,1,True
Human_Astro::conversation_2221141_168.csv::s6,baseline_returned,1,True
Human_Astro::conversation_2221141_168.csv::s7,baseline_returned,1,True
Human_Astro::conversation_2221141_168.csv::s8,baseline_returned,0,True
Human_Astro::conversation_2221141_168.csv::s9,baseline_returned,1,True
Human_Astro::conversation_2634220_347.csv::s1,baseline_returned,1,True
Human_Astro::conversation_2634220_347.csv::s3,baseline_returned,1,True
Human_Astro::conversation_2634220_347.csv::s4,baseline_returned,3,True
Human_Astro::conversation_2634220_347.csv::s5,baseline_returned,3,True
Human_Astro::conversation_2634220_347.csv::s6,baseline_returned,3,True
Human_Astro::conversation_2634220_347.csv::s7,baseline_returned,3,True
Human_Astro::conversation_2634220_347.csv::s8,baseline_returned,3,True
Human_Astro::conversation_2678448_3177.csv::s1,baseline_returned,1,True
Human_Astro::conversation_2678448_3177.csv::s10,baseline_returned,1,True
Human_Astro::conversation_2678448_3177.csv::s11,baseline_returned,1,True
Human_Astro::conversation_2678448_3177.csv::s12,baseline_returned,1,True
Human_Astro::conversation_2678448_3177.csv::s2,baseline_returned,0,True
Human_Astro::conversation_2678448_3177.csv::s3,baseline_returned,1,True
Human_Astro::conversation_2678448_3177.csv::s4,baseline_returned,1,True
Human_Astro::conversation_2678448_3177.csv::s5,baseline_returned,1,True
