session_id,archetype,source_group,returned
Human_Astro::conversation_3761643_2353.csv::s4,archetype_4,baseline_returned,True
Human_Astro::conversation_3308505_2019.csv::s13,archetype_1,baseline_returned,True
Human_Astro::conversation_2221141_168.csv::s8,archetype_4,baseline_returned,True
Human_Astro::conversation_3371122_1117.csv::s6,archetype_4,baseline_returned,True
Sitara-2::conversation_5152309_4336.csv::s1,archetype_4,Sitara-2,False
Sitara-1::conversation_3635399_4336.csv::s1,archetype_4,Sitara-1,False
Human_Astro::conversation_3165061_2487.csv::s5,archetype_2,baseline_returned,True
Human_Astro::conversation_3129759_3821.csv::s4,archetype_4,baseline_returned,True
Sitara-2::conversation_5182178_4336.csv::s1,archetype_6,Sitara-2,True
Human_Astro::conversation_3475164_2462.csv::s11,archetype_4,baseline_returned,True
Human_Astro::conversation_3141140_670.csv::s12,archetype_4,baseline_returned,True
Human_Single::conversation_1393970_340.csv::s1,archetype_4,baseline_not_returned,False
Sitara-1::conversation_3555463_4336.csv::s1,archetype_4,Sitara-1,True
Human_Astro::conversation_2678448_3177.csv::s10,archetype_4,baseline_returned,True
Human_Astro::conversation_3547075_658.csv::s2,archetype_4,baseline_returned,True
Human_Astro::conversation_3371122_1117.csv::s2,archetype_6,baseline_returned,True
Sitara-2::conversation_5263693_4336.csv::s2,archetype_4,Sitara-2,True
Human_Astro::conversation_3258729_2041.csv::s17,archetype_4,baseline_returned,True
Sitara-1::conversation_3271307_4336.csv::s1,archetype_4,Sitara-1,True
Human_Astro::conversation_3596060_2005.csv::s2,archetype_4,baseline_returned,True
Human_Astro::conversation_3258729_2041.csv::s12,archetype_4,baseline_returned,True
Human_Astro::conversation_3712530_4320.csv::s4,archetype_1,baseline_returned,True
Human_Astro::conversation_3552969_680.csv::s2,archetype_4,baseline_returned,True
Human_Astro::conversation_3079187_926.csv::s2,archetype_2,baseline_returned,True
Human_Astro::conversation_3775635_1691.csv::s12,archetype_4,baseline_returned,True
Human_Astro::conversation_3289400_670.csv::s3,archetype_4,baseline_returned,True
Human_Astro::conversation_3129759_3821.csv::s15,archetype_4,baseline_returned,True
Human_Astro::conversation_3084324_3727.csv::s13,archetype_4,baseline_returned,True
Human_Single::conversation_1185325_1883.csv::s1,archetype_6,baseline_returned,True
Sitara-1::conversation_3630452_4336.csv::s2,archetype_4,Sitara-1,True
Sitara-1::conversation_3567422_4336.csv::s2,archetype_4,Sitara-1,True
Human_Astro::conversation_3540611_1747.csv::s5,archetype_6,baseline_returned,True
Human_Astro::conversation_3684647_765.csv::s4,archetype_2,baseline_returned,True
Sitara-1::conversation_3547345_4336.csv::s2,archetype_4,Sitara-1,True
Human_Astro::conversation_3165061_2487.csv::s2,archetype_2,baseline_returned,True
Human_Astro::conversation_3475164_2462.csv::s3,archetype_4,baseline_returned,True
Human_Astro::conversation_3607008_1041.csv::s7,archetype_4,baseline_returned,True
Sitara-1::conversation_3264411_4336.csv::s1,archetype_4,Sitara-1,True
Human_Astro::conversation_3371122_1117.csv::s7,archetype_4,baseline_returned,True
Human_Astro::conversation_3308505_2019.csv::s17,archetype_4,baseline_returned,True
Human_Astro::conversation_3428988_546.csv::s13,archetype_2,baseline_returned,True
Human_Single::conversation_1028497_4.csv::s4,archetype_1,unknown,
Human_Single::conversation_922772_1004.csv::s2,archetype_6,baseline_returned,True
Human_Astro::conversation_3137279_2041.csv::s6,archetype_4,baseline_returned,True
Human_Astro::conversation_3596060_2005.csv::s3,archetype_5,baseline_returned,True
Human_Astro::conversation_3079187_926.csv::s5,archetype_2,baseline_returned,True
Human_Astro::conversation_3100018_2041.csv::s10,archetype_4,baseline_returned,True
Human_Astro::conversation_1338879_1953.csv::s3,archetype_6,baseline_returned,True
Sitara-1::conversation_3638627_4336.csv::s1,archetype_4,Sitara-1,False
Sitara-1::conversation_3436054_4336.csv::s1,archetype_4,Sitara-1,False
Human_Astro::conversation_3064704_1747.csv::s10,archetype_4,baseline_returned,True
Human_Astro::conversation_3395760_1031.csv::s20,archetype_4,baseline_returned,True
Human_Astro::conversation_3547075_658.csv::s5,archetype_4,baseline_returned,True
Human_Astro::conversation_3274321_3667.csv::s7,archetype_2,baseline_returned,True
Human_Astro::conversation_2221141_168.csv::s5,archetype_4,baseline_returned,True
Human_Single::conversation_1185325_1883.csv::s5,archetype_1,unknown,
Sitara-2::conversation_4613992_4336.csv::s1,archetype_4,Sitara-2,False
Sitara-1::conversation_3633289_4336.csv::s1,archetype_4,Sitara-1,False
Human_Astro::conversation_3684647_765.csv::s2,archetype_5,baseline_returned,True
Sitara-2::conversation_5156703_4336.csv::s1,archetype_4,Sitara-2,False
Sitara-2::conversation_5229616_4336.csv::s1,archetype_6,Sitara-2,True
Sitara-1::conversation_3597138_4336.csv::s1,archetype_4,Sitara-1,True
Human_Single::conversation_1028497_4.csv::s5,archetype_4,unknown,
Human_Astro::conversation_3428129_1844.csv::s18,archetype_4,baseline_returned,True
Human_Astro::conversation_2221141_168.csv::s3,archetype_4,baseline_returned,True
Sitara-2::conversation_5267920_4336.csv::s1,archetype_4,Sitara-2,False
Sitara-2::conversation_5229679_4336.csv::s1,archetype_4,Sitara-2,False
Human_Astro::conversation_3684647_765.csv::s9,archetype_5,baseline_returned,True
Human_Astro::conversation_3129759_3821.csv::s11,archetype_4,baseline_returned,True
Sitara-1::conversation_3626523_4336.csv::s2,archetype_4,Sitara-1,True
Sitara-2::conversation_5166849_4336.csv::s1,archetype_4,Sitara-2,False
Sitara-2::conversation_4692098_4336.csv::s1,archetype_4,Sitara-2,False
Sitara-2::conversation_5178039_4336.csv::s1,archetype_4,Sitara-2,False
Human_Astro::conversation_3292393_4042.csv::s2,archetype_4,baseline_returned,True
Sitara-2::conversation_4403950_4336.csv::s2,archetype_4,Sitara-2,True
Human_Astro::conversation_2725383_4463.csv::s8,archetype_4,baseline_returned,True
Human_Astro::conversation_3165061_2487.csv::s9,archetype_2,baseline_returned,True
Sitara-2::conversation_5156256_4336.csv::s1,archetype_4,Sitara-2,False
Sitara-1::conversation_3650536_4336.csv::s2,archetype_4,Sitara-1,True
Human_Astro::conversation_3233283_1873.csv::s2,archetype_6,baseline_returned,True
Sitara-2::conversation_5156709_4336.csv::s1,archetype_4,Sitara-2,False
Human_Astro::conversation_3552969_680.csv::s8,archetype_4,baseline_returned,True
Human_Astro::conversation_3596060_2005.csv::s8,archetype_4,baseline_returned,True
Human_Astro::conversation_3475164_2462.csv::s5,archetype_6,baseline_returned,True
Human_Astro::conversation_1851096_2048.csv::s8,archetype_6,baseline_returned,True
Human_Astro::conversation_3552969_680.csv::s3,archetype_4,baseline_returned,True
Human_Astro::conversation_3100018_2041.csv::s1,archetype_1,baseline_returned,True
Human_Astro::conversation_3308505_2019.csv::s12,archetype_4,baseline_returned,True
Human_Astro::conversation_3775635_1691.csv::s13,archetype_4,baseline_returned,True
Human_Astro::conversation_3395760_1031.csv::s7,archetype_6,baseline_returned,True
Human_Astro::conversation_3568670_1747.csv::s2,archetype_4,baseline_returned,True
Human_Astro::conversation_3258729_2041.csv::s6,archetype_4,baseline_returned,True
Sitara-1::conversation_3400356_4336.csv::s2,archetype_4,Sitara-1,True
Human_Astro::conversation_3753418_2788.csv::s6,archetype_2,baseline_returned,True
Human_Astro::conversation_2946836_3183.csv::s6,archetype_4,baseline_returned,True
Human_Astro::conversation_3141140_670.csv::s9,archetype_6,baseline_returned,True
Human_Astro::conversation_3089486_1765.csv::s8,archetype_2,baseline_returned,True
Human_Astro::conversation_3385183_546.csv::s2,archetype_2,baseline_returned,True
Sitara-1::conversation_888636_4336.csv::s1,archetype_4,Sitara-1,False
Human_Single::conversation_1489500_2569.csv::s1,archetype_1,baseline_not_returned,False
Human_Astro::conversation_3761643_2353.csv::s11,archetype_4,baseline_returned,True
Human_Astro::conversation_3395760_1031.csv::s18,archetype_4,baseline_returned,True
Human_Astro::conversation_3292393_4042.csv::s7,archetype_4,baseline_returned,True
Human_Astro::conversation_2850603_1238.csv::s4,archetype_4,baseline_returned,True
Sitara-2::conversation_5191664_4336.csv::s2,archetype_5,Sitara-2,True
Human_Astro::conversation_1378119_1270.csv::s9,archetype_6,baseline_returned,True
Sitara-1::conversation_3485899_4336.csv::s2,archetype_4,Sitara-1,True
Human_Astro::conversation_3428988_546.csv::s9,archetype_4,baseline_returned,True
Human_Astro::conversation_3540611_1747.csv::s13,archetype_4,baseline_returned,True
Human_Astro::conversation_3775635_1691.csv::s10,archetype_4,baseline_returned,True
Human_Astro::conversation_3258729_2041.csv::s4,archetype_2,baseline_returned,True
Human_Astro::conversation_3129759_3821.csv::s2,archetype_4,baseline_returned,True
Sitara-1::conversation_3577798_4336.csv::s1,archetype_4,Sitara-1,True
Human_Astro::conversation_3428129_1844.csv::s17,archetype_4,baseline_returned,True
Sitara-2::conversation_5158599_4336.csv::s1,archetype_4,Sitara-2,False
Human_Astro::conversation_3552969_680.csv::s11,archetype_5,baseline_returned,True
Human_Single::conversation_695474_168.csv::s1,archetype_1,baseline_not_returned,False
Sitara-2::conversation_5192014_4336.csv::s1,archetype_4,Sitara-2,False
Human_Astro::conversation_418962_1436.csv::s5,archetype_2,baseline_returned,True
Human_Astro::conversation_3141140_670.csv::s6,archetype_6,baseline_returned,True
Human_Astro::conversation_2850603_1238.csv::s10,archetype_6,baseline_returned,True
Human_Astro::conversation_3308505_2019.csv::s19,archetype_4,baseline_returned,True
Human_Astro::conversation_3308505_2019.csv::s18,archetype_4,baseline_returned,True
Human_Astro::conversation_3355731_1117.csv::s11,archetype_3,baseline_returned,True
Sitara-1::conversation_3627551_4336.csv::s1,archetype_4,Sitara-1,False
Sitara-2::conversation_4027814_4336.csv::s1,archetype_4,Sitara-2,False
Human_Astro::conversation_3395760_1031.csv::s2,archetype_4,baseline_returned,True
Human_Astro::conversation_3308505_4010.csv::s3,archetype_4,baseline_returned,True
Human_Astro::conversation_3258729_2041.csv::s18,archetype_4,baseline_returned,True
Human_Astro::conversation_3165061_2487.csv::s11,archetype_2,baseline_returned,True
Human_Astro::conversation_3137279_2041.csv::s2,archetype_4,baseline_returned,True
Human_Single::conversation_915999_60.csv::s2,archetype_6,baseline_returned,True
Human_Astro::conversation_3283278_321.csv::s2,archetype_4,baseline_returned,True
Sitara-2::conversation_5270185_4336.csv::s1,archetype_4,Sitara-2,False
Human_Astro::conversation_3428129_1844.csv::s24,archetype_4,baseline_returned,True
Sitara-1::conversation_3151823_4336.csv::s2,archetype_4,Sitara-1,True
Human_Astro::conversation_3568670_1747.csv::s1,archetype_4,baseline_returned,True
Human_Astro::conversation_3540611_1747.csv::s14,archetype_4,baseline_returned,True
Human_Single::conversation_1045860_285.csv::s1,archetype_4,baseline_returned,True
Sitara-2::conversation_5182178_4336.csv::s2,archetype_3,Sitara-2,True
Human_Astro::conversation_3540611_1747.csv::s8,archetype_4,baseline_returned,True
Human_Astro::conversation_3460845_3788.csv::s22,archetype_4,baseline_returned,True
Sitara-1::conversation_3539097_4336.csv::s2,archetype_5,Sitara-1,True
